co_ibge,no_municipio,sg_uf,no_uf,co_uf,co_regiao_brasil,no_regiao_brasil,sg_regiao_brasil,co_regiao_saude,no_regiao_saude,no_macro,co_macro,dt_competencia,dt_atualizacao,ds_unidade_medida,sg_granularidade,ds_granularidade,ano,mes,ds_categoria,teve_caso,predito,probabilidade_caso,acerto
316260,São João do Oriente,MG,Minas Gerais,31,3,Sudeste,SE,31037,Ipatinga,Vale do Aço,3114,2020-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2020,12,Faixa etária,0,0,0.4296,True
250215,Boa Vista,PB,Paraíba,25,2,Nordeste,NE,25016,16ª Região,Macrorregião II- Campina Grande,2502,2022-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2022,12,Situação vacinal,0,0,0.0,True
270660,Paulo Jacinto,AL,Alagoas,27,2,Nordeste,NE,27004,4ª Região de Saúde,1ª Macrorregião de Saúde,2704,2018-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2018,12,Todas as categorias,0,0,0.0011,True
220350,Elesbão Veloso,PI,Piauí,22,2,Nordeste,NE,22010,Vale do Sambito,Semi-Árido,2207,2013-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2013,12,Sexo,0,0,0.0021,True
210125,Bacabeira,MA,Maranhão,21,2,Nordeste,NE,21013,Rosário,Macrorregião Norte,2110,2020-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2020,12,Todas as categorias,0,0,0.2324,True
420380,Canoinhas,SC,Santa Catarina,42,4,Sul,S,42012,Planalto Norte,Planalto Norte e Nordeste,4211,2020-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2020,12,Tipo do caso,0,1,0.7206,False
354890,São Carlos,SP,São Paulo,35,3,Sudeste,SE,35032,Coração do DRS III ,RRAS18,3535,2020-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2020,12,Todas as categorias,1,1,0.8411,True
421060,Massaranduba,SC,Santa Catarina,42,4,Sul,S,42017,Vale do Itapocú,Planalto Norte e Nordeste,4211,2020-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2020,12,Tipo do caso,0,1,0.7206,False
260970,Orobó,PE,Pernambuco,26,2,Nordeste,NE,26006,II Região de Saúde,Metropolitana,2607,2012-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2012,12,Todas as categorias,0,0,0.1684,True
411373,Luiziana,PR,Paraná,41,4,Sul,S,41011,11ª RS Campo Mourão,Macrorregional Noroeste,4106,2018-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2018,12,Situação vacinal,0,0,0.0828,True
150095,Aurora do Pará,PA,Pará,15,1,Norte,N,15008,Metropolitana III ,Macrorregional II,1511,2017-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2017,12,Tipo do caso,0,0,0.0,True
320050,Apiacá,ES,Espírito Santo,32,3,Sudeste,SE,32004,Sul,Sul,3205,2016-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2016,12,Sexo,0,0,0.0002,True
317020,Uberlândia,MG,Minas Gerais,31,3,Sudeste,SE,31075,Uberlândia/Araguari,Triângulo do Norte,3113,2024-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2024,12,Faixa etária,0,0,0.0417,True
292170,Morro do Chapéu,BA,Bahia,29,2,Nordeste,NE,29014,Jacobina,Centro - Norte (NRS - Jacobina),2918,2021-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2021,12,Faixa etária,0,0,0.0,True
431080,Ivoti,RS,Rio Grande do Sul,43,4,Sul,S,43007,Região 07 - Vale dos Sinos,Metropolitana,4313,2023-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2023,12,Tipo do caso,0,0,0.0,True
261080,Pedra,PE,Pernambuco,26,2,Nordeste,NE,26002,VI Região de Saúde,Sertão,2606,2014-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2014,12,Tipo do caso,0,1,0.6336,False
521810,Portelândia,GO,Goiás,52,5,Centro-Oeste,CO,52016,Sudoeste II,Macrorregião Sudoeste,5206,2023-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2023,12,Faixa etária,0,0,0.005,True
210923,Presidente Médici,MA,Maranhão,21,2,Nordeste,NE,21019,Zé Doca,Macrorregião Norte,2110,2022-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2022,12,Situação vacinal,0,0,0.0,True
330575,Tanguá,RJ,Rio de Janeiro,33,3,Sudeste,SE,33006,Metropolitana II,Macrorregião I,3312,2018-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2018,12,Faixa etária,0,1,0.5984,False
250375,Cajazeirinhas,PB,Paraíba,25,2,Nordeste,NE,25013,13ª Região,Macrorregião III - Sertão/Alto Sertão,2501,2023-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2023,12,Faixa etária,0,0,0.0,True
421985,Zortéa,SC,Santa Catarina,42,4,Sul,S,42008,Meio Oeste,Meio Oeste,4217,2016-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2016,12,Tipo do caso,0,0,0.0,True
292550,Prado,BA,Bahia,29,2,Nordeste,NE,29026,Teixeira de Freitas,Extremo Sul (NRS - Teixeira Freitas),2916,2024-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2024,12,Sexo,0,0,0.0,True
150360,Itaituba,PA,Pará,15,1,Norte,N,15010,Tapajós,Macrorregional III ,1510,2021-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2021,12,Tipo do caso,0,1,0.8089,False
354510,Salmourão,SP,São Paulo,35,3,Sudeste,SE,35091,Adamantina,RRAS10,3533,2015-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2015,12,Todas as categorias,0,0,0.0,True
220557,Lagoa de São Francisco,PI,Piauí,22,2,Nordeste,NE,22003,Cocais,Litoral,2209,2018-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2018,12,Sexo,0,0,0.0002,True
280510,Pedrinhas,SE,Sergipe,28,2,Nordeste,NE,28002,Estância,Macro Única,2801,2016-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2016,12,Faixa etária,0,0,0.0019,True
351380,Diadema,SP,São Paulo,35,3,Sudeste,SE,35015,Grande ABC,RRAS1,3534,2019-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2019,12,Faixa etária,1,1,0.9908,True
314750,Passabém,MG,Minas Gerais,31,3,Sudeste,SE,31021,Itabira,Centro,3103,2014-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2014,12,Todas as categorias,0,0,0.0914,True
355170,Sertãozinho,SP,São Paulo,35,3,Sudeste,SE,35131,Horizonte Verde,RRAS13,3530,2019-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2019,12,Situação vacinal,1,1,0.9821,True
241400,Tangará,RN,Rio Grande do Norte,24,2,Nordeste,NE,24005,5ª Região de Saúde - Santa Cruz,Macrorregião I,2402,2015-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2015,12,Situação vacinal,0,0,0.0,True
311950,Coronel Murta,MG,Minas Gerais,31,3,Sudeste,SE,31064,Araçuaí,Jequitinhonha,3104,2014-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2014,12,Sexo,0,0,0.0421,True
230520,Hidrolândia,CE,Ceará,23,2,Nordeste,NE,23011,5ª RS Sobral,Sobral,2309,2020-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2020,12,Situação vacinal,0,0,0.4046,True
260220,Bom Jardim,PE,Pernambuco,26,2,Nordeste,NE,26006,II Região de Saúde,Metropolitana,2607,2016-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2016,12,Todas as categorias,0,0,0.1728,True
230740,Jucás,CE,Ceará,23,2,Nordeste,NE,23023,2ª RS Cariri,Cariri,2308,2023-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2023,12,Tipo do caso,0,0,0.0001,True
240140,Baía Formosa,RN,Rio Grande do Norte,24,2,Nordeste,NE,24001,1ª Região de Saúde - São José de Mipibu,Macrorregião I,2402,2019-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2019,12,Situação vacinal,0,1,0.5802,False
220556,Lagoa do Barro do Piauí,PI,Piauí,22,2,Nordeste,NE,22006,Serra da Capivara,Cerrados,2210,2020-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2020,12,Todas as categorias,0,0,0.0016,True
250960,Monte Horebe,PB,Paraíba,25,2,Nordeste,NE,25009,9ª Região,Macrorregião III - Sertão/Alto Sertão,2501,2013-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2013,12,Situação vacinal,0,0,0.3978,True
311960,Coronel Pacheco,MG,Minas Gerais,31,3,Sudeste,SE,31097,Juiz de Fora,Sudeste,3107,2020-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2020,12,Tipo do caso,0,0,0.415,True
431900,São Marcos,RS,Rio Grande do Sul,43,4,Sul,S,43026,Região 26 - Uva Vale,Serra,4310,2020-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2020,12,Tipo do caso,0,1,0.5542,False
312705,Fronteira dos Vales,MG,Minas Gerais,31,3,Sudeste,SE,31062,Águas Formosas,Nordeste,3111,2019-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2019,12,Faixa etária,0,1,0.7551,False
251240,Puxinanã,PB,Paraíba,25,2,Nordeste,NE,25016,16ª Região,Macrorregião II- Campina Grande,2502,2022-12-01 12:00:00,2026-01-26 00:00:00,Número,MN,Município,2022,12,Sexo,0,0,0.0,True
